threshold_method,n_estimators,max_samples,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
benign-q0.9975,200,0.5,0.9969128987521865,0.0010858733694844563,0.7713724490071701,0.4292354076644458,0.7998443145433716,0.4470608821800967,0.7850070239305981,0.43871310809539316,0.0040901203043402735,0.0006672508063078774,54458.2,30438.587224114068,2519.6,411.04050895258484,613501.4,411.0405089525817,13627.8,30438.587224114068
label-tuned upper bound,200,auto,0.9192669070758072,0.03661191286931293,0.5952912147082012,0.12149786736420573,0.9978233410686486,0.0047850809667144495,0.7399198540993523,0.09225783394267953,0.08093295520769585,0.03637072129478665,67937.8,325.79702269971693,49856.4,22405.128102735765,566164.6,22405.12810273576,148.2,325.7970226997171
label-tuned upper bound,500,auto,0.9173157532893859,0.03354469084536226,0.587183684293456,0.11547727408195968,0.9999618130012043,1.674610676348971e-05,0.7348263730477307,0.08716457121540247,0.0829283417286099,0.03344769367315602,68083.4,1.1401754250992178,51085.6,20604.481704231242,564935.4,20604.481704231246,2.6,1.140175425099138
benign-q0.9975,500,0.5,0.9966010093684325,0.0012966844291526292,0.578588428837217,0.5245612932758408,0.5999089386951797,0.5475187619748746,0.5883026928217138,0.5368154701536583,0.00410765217419536,0.0006584680182757422,40845.4,37278.36242782132,2530.4,405.630127086241,613490.6,405.63012708623097,27240.6,37278.36242782132
benign-q0.999,200,1.0,0.9975508988736811,0.0013805878420836458,0.3960140794791049,0.5379561849870244,0.39990012631084215,0.5475187623688649,0.3970351976309494,0.5435308317044523,0.0016466971093517398,0.00012076353891023182,27227.6,37278.36245464653,1014.4,74.39287600301523,615006.6,74.39287600301466,40858.4,37278.36245464653
benign-q0.999,500,1.0,0.9977365090777311,0.0013202284334394086,0.3958973425505601,0.5375066806333049,0.39990306377228796,0.5475227852692045,0.3969123498974375,0.5433625105127278,0.0016301392322664323,0.0001059856010545072,27227.8,37278.63635783906,1004.2,65.28935594719862,615016.8,65.28935594721627,40858.2,37278.63635783906
benign-q0.999,500,auto,0.9173157532893859,0.03354469084536226,0.005265926993576419,0.0012505571600659173,4.4061921687277854e-05,0.0,8.73589236735387e-05,1.8067949117288642e-07,0.0009632788492600089,0.00023067047001319415,3.0,0.0,593.4,142.0978536079979,615427.6,142.09785360800237,68083.0,0.0
benign-q0.999,200,auto,0.9192669070758072,0.03661191286931293,0.004982117349852785,0.0010525954439955924,4.4061921687277854e-05,1.7988204203383794e-05,8.731122920087051e-05,3.5464841555750147e-05,0.0009577595568982227,0.00023698822875499988,3.0,1.224744871391589,590.0,145.98972566588375,615431.0,145.98972566588375,68083.0,1.2247448713923317
benign-q0.9975,500,auto,0.9173157532893859,0.03354469084536226,0.0029023545727960972,0.0002712802224571582,8.224892048291866e-05,8.044569478382724e-06,0.00015992697598175596,1.5383436351955533e-05,0.003135282725751232,0.0003364949635702842,5.6,0.5477225575051663,1931.4,207.2879639535301,614089.6,207.28796395353757,68080.4,0.5477225575061624
benign-q0.9975,200,auto,0.9192669070758072,0.03661191286931293,0.0028250837401797052,0.0005655243268216925,7.63739975912816e-05,1.914990572277017e-05,0.00014870318456626676,3.707537352601163e-05,0.002950548763759677,0.00028612758740039103,5.2,1.3038404810405297,1817.6,176.26060251797622,614203.4,176.26060251798629,68080.8,1.3038404810408089
benign-q0.999,200,0.5,0.9969128987521865,0.0010858733694844563,0.0025532218984786973,0.0023809563735613017,3.81869987956408e-05,3.829981144554034e-05,7.524269771655322e-05,7.539362204244758e-05,0.0015596870885895124,0.00014983176297250251,2.6,2.6076809620810595,960.8,92.29951245808398,615060.2,92.29951245807297,68083.4,2.60768096208092
benign-q0.999,500,0.5,0.9966010093684325,0.0012966844291526292,0.0024950304724552647,0.002780969437133412,3.5249537349822286e-05,4.101941674872644e-05,6.95146232334471e-05,8.084725999397689e-05,0.0014957282300441057,8.702273988746679e-05,2.4,2.792848008753788,921.4,53.607835248217214,615099.6,53.607835248216226,68083.6,2.7928480087539835
benign-q0.995,200,auto,0.9192669070758072,0.03661191286931293,0.0022143977173738555,0.0008514107328219344,0.00010281115060364833,3.44447886483523e-05,0.00019636344806953188,6.614072514866514e-05,0.005243652407953625,0.0008108432122180995,7.0,2.3452078799117144,3230.2,499.49644643380594,612790.8,499.4964464338009,68079.0,2.3452078799107454
benign-q0.995,500,auto,0.9173157532893859,0.03354469084536226,0.001920859275416243,0.00015529128919495008,9.693622771201127e-05,1.3136726948270071e-05,0.00018449537122425513,2.4222995248722183e-05,0.005561498715141205,0.0005314797016484096,6.6,0.8944271909999159,3426.0,327.4026572891552,612595.0,327.4026572891552,68079.4,0.8944271910010344
benign-q0.99,500,auto,0.9173157532893859,0.03354469084536226,0.0014566911947514458,0.0006626927597085224,0.00012924830361601505,4.574335840671338e-05,0.00023705284888216478,8.61619807037976e-05,0.010355166463480952,0.002181176957104733,8.8,3.1144823004794877,6379.0,1343.6508102926148,609642.0,1343.650810292608,68077.2,3.1144823004798963
benign-q0.99,200,auto,0.9192669070758072,0.03661191286931293,0.001346998319806281,0.0003747108118053461,0.00012043591927855947,3.349221352698464e-05,0.0002210877416460975,6.145916701764523e-05,0.009884727955702808,0.0003446632597804124,8.2,2.2803508501982757,6089.2,212.31980595318942,609931.8,212.3198059531979,68077.8,2.280350850199233
