auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn,threshold_method,quantile,seed,n_estimators,max_samples,val_size,fit_size
0.9987980967226064,0.985150019539448,0.999691566548189,0.9923675251682136,0.0016655276362331,0.1327292826434804,68065,1026,614995,21,benign-q0.999,0.999,4,200,1.0,100000,500000
0.9960552594725901,0.9655314259776735,0.9997503157771054,0.9823429664105061,0.003944670717394375,0.1161512081626227,68069,2430,613591,17,label-tuned upper bound,,0,200,0.5,100000,500000
0.9960552594725901,0.8642514407575719,0.9999706253855418,0.9271707157642445,0.017359797799101004,0.04197979714476128,68084,10694,605327,2,benign-q0.99,0.99,0,200,0.5,100000,500000
0.9960552594725901,0.9293134752160321,0.99983843962048,0.9632868493480214,0.008405557602744062,0.0777765353545352,68075,5178,610843,11,benign-q0.995,0.995,0,200,0.5,100000,500000
0.9960552594725901,0.9566311114858693,0.9997796903915636,0.9777295806611463,0.005009569478962568,0.10795948371582029,68071,3086,612935,15,benign-q0.9975,0.9975,0,200,0.5,100000,500000
0.9960552594725901,0.006603773584905661,0.00010281115060364833,0.00020247013565499088,0.0017093573108708955,0.14420958003435091,7,1053,614968,68079,benign-q0.999,0.999,0,200,0.5,100000,500000
0.9502217220166868,0.6893005168090877,0.9892635784155333,0.8124800212302701,0.04928403414818651,0.10384756408757079,67355,30360,585661,731,label-tuned upper bound,,0,200,auto,100000,500000
0.9502217220166868,0.0013506668917778154,0.00011749845783274095,0.00021618992284722132,0.009601945388225402,0.14991588188745,8,5915,610106,68078,benign-q0.99,0.99,0,200,auto,100000,500000
0.9502217220166868,0.0015325670498084292,8.812384337455571e-05,0.0001666643518840016,0.006345562894771444,0.16460655726666706,6,3909,612112,68080,benign-q0.995,0.995,0,200,auto,100000,500000
0.9502217220166868,0.0034227039361095267,8.812384337455571e-05,0.00017182376609057977,0.002835942281188466,0.18352365506887003,6,1747,614274,68080,benign-q0.9975,0.9975,0,200,auto,100000,500000
0.9502217220166868,0.005141388174807198,2.9374614458185237e-05,5.8415480102227094e-05,0.0006282253364739189,0.20926763891153044,2,387,615634,68084,benign-q0.999,0.999,0,200,auto,100000,500000
0.9959449202845757,0.9646015191021426,0.9997650030843345,0.9818685360681985,0.004055056564630102,0.10749250895089235,68070,2498,613523,16,label-tuned upper bound,,0,500,1.0,100000,500000
0.9959449202845757,0.8604521844629519,0.9999853126927709,0.9249862444213486,0.017924713605542666,0.03386366904834759,68085,11042,604979,1,benign-q0.99,0.99,0,500,1.0,100000,500000
0.9959449202845757,0.9193010411462061,0.9998678142349382,0.9578933297687475,0.00970096798648098,0.06722076558484824,68077,5976,610045,9,benign-q0.995,0.995,0,500,1.0,100000,500000
0.9959449202845757,0.9588275065498493,0.9997796903915636,0.9788754673569169,0.004744968109853398,0.09853779759190928,68071,2923,613098,15,benign-q0.9975,0.9975,0,500,1.0,100000,500000
0.9959449202845757,0.006889763779527559,0.00010281115060364833,0.00020259905646725134,0.0016379311744242485,0.13351776902730247,7,1009,615012,68079,benign-q0.999,0.999,0,500,1.0,100000,500000
0.9950622262118695,0.9572364720440995,0.9997796903915636,0.9780456615755974,0.004936520021233042,0.11027015067220747,68071,3041,612980,15,label-tuned upper bound,,0,500,0.5,100000,500000
0.9950622262118695,0.8685734697522517,0.9999706253855418,0.9296520836746955,0.016723455856212693,0.043777038786194766,68084,10302,605719,2,benign-q0.99,0.99,0,500,0.5,100000,500000
0.9950622262118695,0.9275796759820687,0.9998531269277091,0.9623613732267436,0.008627952618498396,0.0785014051191728,68076,5315,610706,10,benign-q0.995,0.995,0,500,0.5,100000,500000
0.9950622262118695,0.9560802269726678,0.9997796903915636,0.9774417736423422,0.00507612565156058,0.1083717725891542,68071,3127,612894,15,benign-q0.9975,0.9975,0,500,0.5,100000,500000
0.9950622262118695,0.007021063189568706,0.00010281115060364833,0.0002026547775863816,0.00160708807004956,0.14499506409066631,7,990,615031,68079,benign-q0.999,0.999,0,500,0.5,100000,500000
0.9336040504833982,0.6239563763002337,0.9999559380783127,0.7684268147470952,0.06660811887906419,0.09808043496334573,68083,41032,574989,3,label-tuned upper bound,,0,500,auto,100000,500000
0.9336040504833982,0.0013168724279835392,0.00011749845783274095,0.00021574682110543278,0.009848690223222909,0.14946507065796313,8,6067,609954,68078,benign-q0.99,0.99,0,500,auto,100000,500000
0.9336040504833982,0.00199700449326011,0.00011749845783274095,0.00022193863396770792,0.006490038488947617,0.1635606961714906,8,3998,612023,68078,benign-q0.995,0.995,0,500,auto,100000,500000
0.9336040504833982,0.003298515667949423,8.812384337455571e-05,0.00017166154066232744,0.0029430814858584366,0.18833138988216214,6,1813,614208,68080,benign-q0.9975,0.9975,0,500,auto,100000,500000
0.9336040504833982,0.006289308176100629,4.4061921687277854e-05,8.751075653049021e-05,0.0007694542880843347,0.2166745773517199,3,474,615547,68083,benign-q0.999,0.999,0,500,auto,100000,500000
0.998524875640511,0.9868348557343772,0.9996475046265018,0.9931998599112771,0.001473975724853536,0.14727258184509806,68062,908,615113,24,label-tuned upper bound,,1,200,0.5,100000,500000
0.998524875640511,0.8505609274667066,0.9999706253855418,0.9192341965274213,0.019418169185790743,0.04550058549691394,68084,11962,604059,2,benign-q0.99,0.99,1,200,0.5,100000,500000
0.998524875640511,0.9173347705989355,0.9999118761566255,0.9568449975755616,0.009959076070458636,0.07671427254034911,68080,6135,609886,6,benign-q0.995,0.995,1,200,0.5,100000,500000
0.998524875640511,0.9601523379645955,0.9997650030843345,0.9795583568977055,0.00458588262413132,0.10838586729908672,68070,2825,613196,16,benign-q0.9975,0.9975,1,200,0.5,100000,500000
