dataset,seed,bootstrap,f1_minus_magic_cited,fpr_minus_magic_cited,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
trace,3,13,-0.03472230428360412,0.008666286218828922,0.989937404214075,0.9163914315372275,0.9997940903943169,0.9562776957163959,0.010066286218828923,0.08887801218370184,67977,6202,609914,14
trace,3,14,-0.03359589339096991,0.008442778579697767,0.9901605352618478,0.9183876787204825,0.9998827392120075,0.9574041066090301,0.009842778579697767,0.08887801218370184,68216,6062,609821,8
trace,3,15,-0.033839018889202155,0.008450729797889639,0.990153835770745,0.9179408146435766,0.9998821952907567,0.9571609811107978,0.009850729797889639,0.08887801218370184,67901,6070,610128,8
trace,3,16,-0.03425247406951193,0.008610718809887289,0.9899929111887684,0.9172784003220829,0.9997659689616335,0.9567475259304881,0.01001071880988729,0.08887801218370184,68351,6164,609576,16
trace,3,17,-0.033590489012298885,0.008445313448928756,0.990158134546465,0.9184346118144028,0.9998389010119946,0.9574095109877011,0.009845313448928757,0.08887801218370184,68270,6063,609763,11
trace,3,18,-0.0341811165062168,0.008567349178696273,0.9900351533171835,0.9173977395048439,0.9997800457504838,0.9568188834937832,0.009967349178696273,0.08887801218370184,68181,6139,609772,15
trace,3,19,-0.03420522658631542,0.008547317681198936,0.9900562018382622,0.9172673523932939,0.9998822854284075,0.9567947734136846,0.009947317681198936,0.08887801218370184,67953,6129,610017,8
trace,3,20,-0.03332957148798488,0.008327882213750493,0.9902754526534993,0.9189156284241711,0.9998380924345011,0.9576704285120151,0.009727882213750493,0.08887801218370184,67929,5994,610173,11
trace,3,21,-0.033713251054172555,0.008478880988959948,0.990124233172964,0.9182579249365065,0.9997805381205285,0.9572867489458274,0.009878880988959948,0.08887801218370184,68334,6083,609675,15
trace,3,22,-0.03410937215140164,0.008563270992527546,0.9900392928612985,0.9174925035969288,0.9998241629423401,0.9568906278485984,0.009963270992527546,0.08887801218370184,68233,6136,609726,12
trace,3,23,-0.03315488025702995,0.008284833100152893,0.9903177194761863,0.919299431971869,0.999764667813911,0.95784511974297,0.009684833100152893,0.08887801218370184,67973,5967,610151,16
trace,3,24,-0.0333184494947365,0.008352383302595008,0.9902498583966063,0.9189852590125022,0.9997799134326169,0.9576815505052635,0.009752383302595008,0.08887801218370184,68140,6007,609945,15
trace,3,25,-0.03415004463312976,0.008550781777569997,0.9900531018195887,0.9173809908889967,0.999867792875505,0.9568499553668702,0.009950781777569997,0.08887801218370184,68066,6130,609902,9
trace,3,26,-0.033556941144955776,0.008387549639640956,0.9902153621942437,0.9184349684207679,0.9999116555745332,0.9574430588550442,0.009787549639640956,0.08887801218370184,67910,6031,610160,6
trace,3,27,-0.03425413033986391,0.00854217439216571,0.9900612100441243,0.9172765819537094,0.9997645119510185,0.9567458696601361,0.00994217439216571,0.08887801218370184,67928,6126,610037,16
trace,3,28,-0.03431274849843502,0.008555472183096305,0.9900477020988562,0.9170822689859304,0.999867379868264,0.956687251501565,0.009955472183096305,0.08887801218370184,67854,6135,610109,9
trace,3,29,-0.03335370190753317,0.008374731483044793,0.9902296419468847,0.9187964448999959,0.9999266119681203,0.9576462980924668,0.009774731483044793,0.08887801218370184,68126,6021,609955,5
trace,3,30,-0.03472687521022533,0.008712638687500305,0.9898919010518755,0.9163577759871072,0.9998241603657464,0.9562731247897747,0.010112638687500305,0.08887801218370184,68232,6228,609635,12
trace,3,31,-0.03406106486395888,0.008603476362360417,0.9900002170089302,0.9175315718284207,0.9998832474715781,0.9569389351360411,0.010003476362360417,0.08887801218370184,68513,6158,609428,8
trace,3,32,-0.034150081771291974,0.008613904139405241,0.9899897475985223,0.9173802918827645,0.9998685421322466,0.956849918228708,0.010013904139405241,0.08887801218370184,68454,6165,609479,9
trace,3,33,-0.03409760506100312,0.008495544327949923,0.99010788935108,0.9174282116892084,0.9999262199530758,0.9569023949389969,0.009895544327949923,0.08887801218370184,67764,6099,610239,5
trace,3,34,-0.03443174107080005,0.008595942546457843,0.9900073952086721,0.9168881991768437,0.9998381329370043,0.9565682589291999,0.009995942546457843,0.08887801218370184,67946,6159,609991,11
trace,3,35,-0.03418016356015463,0.008483096530533448,0.9901200954618483,0.9174257211017133,0.9997488958804154,0.9568198364398454,0.009883096530533448,0.08887801218370184,67684,6092,610314,17
trace,3,36,-0.03425032765399738,0.008596151579070435,0.9900068180455962,0.9172702960583785,0.9997802841658122,0.9567496723460026,0.009996151579070436,0.08887801218370184,68255,6156,609681,15
trace,3,37,-0.03398054198010281,0.008594199432291777,0.9900089816784172,0.9177530854292858,0.999796067006555,0.9570194580198972,0.009994199432291778,0.08887801218370184,68636,6151,609306,14
trace,3,38,-0.03382183084744805,0.008488837838320504,0.9901154017520492,0.9179597004471742,0.9998973004694836,0.9571781691525519,0.009888837838320504,0.08887801218370184,68153,6091,609856,7
trace,3,39,-0.034204683158586824,0.00849247730472983,0.9901098310551941,0.9173309473455886,0.9998079167836404,0.9567953168414132,0.00989247730472983,0.08887801218370184,67666,6098,610330,13
