dataset,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
wget,3,200,auto,auto,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,0.005059900622582214,20,2,23,5
wget,3,200,auto,0.01,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.14340326206643583,20,2,23,5
wget,3,200,auto,0.05,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.01539194572775704,20,2,23,5
wget,3,200,auto,0.1,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.0021065482273409097,20,2,23,5
wget,3,200,0.5,auto,0.8912,0.95,0.76,0.8444444444444444,0.04,0.020808273466759952,19,1,24,6
wget,3,200,0.5,0.01,0.8912,0.95,0.76,0.8444444444444444,0.04,-0.12952267975964404,19,1,24,6
wget,3,200,0.5,0.05,0.8912,0.95,0.76,0.8444444444444444,0.04,-0.02246899143411174,19,1,24,6
wget,3,200,0.5,0.1,0.8912,0.95,0.76,0.8444444444444444,0.04,-0.0021680692369844268,19,1,24,6
wget,3,200,1.0,auto,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,0.005059900622582214,20,2,23,5
wget,3,200,1.0,0.01,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.14340326206643583,20,2,23,5
wget,3,200,1.0,0.05,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.01539194572775704,20,2,23,5
wget,3,200,1.0,0.1,0.9024,0.9090909090909091,0.8,0.851063829787234,0.08,-0.0021065482273409097,20,2,23,5
wget,4,50,auto,auto,0.8927999999999999,0.9090909090909091,0.8,0.851063829787234,0.08,0.0011812530160526524,20,2,23,5
wget,4,50,auto,0.01,0.8927999999999999,0.9090909090909091,0.8,0.851063829787234,0.08,-0.13981906558952117,20,2,23,5
wget,4,50,auto,0.05,0.8927999999999999,0.9090909090909091,0.8,0.851063829787234,0.08,-0.03337470114154817,20,2,23,5
wget,4,50,auto,0.1,0.8927999999999999,0.9090909090909091,0.8,0.851063829787234,0.08,-0.007093316305870179,20,2,23,5
wget,4,50,0.5,auto,0.9087999999999999,0.9130434782608695,0.84,0.875,0.08,0.0142472237421567,21,2,23,4
wget,4,50,0.5,0.01,0.9087999999999999,0.9130434782608695,0.84,0.875,0.08,-0.16339386432709457,21,2,23,4
wget,4,50,0.5,0.05,0.9087999999999999,0.9130434782608695,0.84,0.875,0.08,-0.024327349410086074,21,2,23,4
wget,4,50,0.5,0.1,0.9087999999999999,0.9130434782608695,0.84,0.875,0.08,-0.016806380377574204,21,2,23,4
wget,4,50,1.0,auto,0.8927999999999999,0.9090909090909091,0.8,0.851063829787234,0.08,0.0011812530160526524,20,2,23,5
wget,4,50,1.0,0.01,0.8927999999999999,0.9090909090909091,0.8,0.851063829787234,0.08,-0.13981906558952117,20,2,23,5
