dataset,n_estimators,max_samples,contamination,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
trace,50,auto,auto,0.9329592248354587,0.022188874621653108,0.6300985299761684,0.07766230185825061,0.999935375848192,5.0452557169793034e-05,0.7708247025019144,0.05872863780283269,0.06706037618847409,0.022195598220194384
trace,100,0.5,0.01,0.9896367472383327,0.0024113920099222627,0.91329712691039,0.01822998105806956,0.9997914402373468,2.6273453896570422e-05,0.9545128000850098,0.009967086524394375,0.01052918650500551,0.0024254164919479126
trace,100,0.5,0.05,0.9896367472383327,0.0024113920099222627,0.91329712691039,0.01822998105806956,0.9997914402373468,2.6273453896570422e-05,0.9545128000850098,0.009967086524394375,0.01052918650500551,0.0024254164919479126
trace,100,0.5,0.1,0.9896367472383327,0.0024113920099222627,0.91329712691039,0.01822998105806956,0.9997914402373468,2.6273453896570422e-05,0.9545128000850098,0.009967086524394375,0.01052918650500551,0.0024254164919479126
trace,100,0.5,auto,0.9896367472383327,0.0024113920099222627,0.91329712691039,0.01822998105806956,0.9997914402373468,2.6273453896570422e-05,0.9545128000850098,0.009967086524394375,0.01052918650500551,0.0024254164919479126
trace,100,1.0,0.01,0.9916110359065368,0.001925734523823823,0.9282775154647309,0.014061627441602215,0.9997914402373469,2.178479713040722e-05,0.9626636550327279,0.007612557930647754,0.00856009778887408,0.00183289341913583
trace,100,1.0,0.05,0.9916110359065368,0.001925734523823823,0.9282775154647309,0.014061627441602215,0.9997914402373469,2.178479713040722e-05,0.9626636550327279,0.007612557930647754,0.00856009778887408,0.00183289341913583
trace,100,1.0,0.1,0.9916110359065368,0.001925734523823823,0.9282775154647309,0.014061627441602215,0.9997914402373469,2.178479713040722e-05,0.9626636550327279,0.007612557930647754,0.00856009778887408,0.00183289341913583
trace,100,1.0,auto,0.9916110359065368,0.001925734523823823,0.9282775154647309,0.014061627441602215,0.9997914402373469,2.178479713040722e-05,0.9626636550327279,0.007612557930647754,0.00856009778887408,0.00183289341913583
trace,100,auto,0.01,0.925719340804854,0.024972590251262045,0.6058669247460563,0.0783564875271132,0.9999265634638546,6.144141428001749e-05,0.7521375417513255,0.061707546085223844,0.07446564321670852,0.024901669471948804
trace,100,auto,0.05,0.925719340804854,0.024972590251262045,0.6058669247460563,0.0783564875271132,0.9999265634638546,6.144141428001749e-05,0.7521375417513255,0.061707546085223844,0.07446564321670852,0.024901669471948804
trace,100,auto,0.1,0.925719340804854,0.024972590251262045,0.6058669247460563,0.0783564875271132,0.9999265634638546,6.144141428001749e-05,0.7521375417513255,0.061707546085223844,0.07446564321670852,0.024901669471948804
trace,100,auto,auto,0.925719340804854,0.024972590251262045,0.6058669247460563,0.0783564875271132,0.9999265634638546,6.144141428001749e-05,0.7521375417513255,0.061707546085223844,0.07446564321670852,0.024901669471948804
trace,200,0.5,0.01,0.9885511329650216,0.0012028941524052056,0.9051585684581193,0.009629296845239301,0.9998031900831302,2.2274404265433043e-05,0.9501082146388065,0.005303105486323293,0.011589539966981645,0.0013018270547555972
trace,200,0.5,0.05,0.9885511329650216,0.0012028941524052056,0.9051585684581193,0.009629296845239301,0.9998031900831302,2.2274404265433043e-05,0.9501082146388065,0.005303105486323293,0.011589539966981645,0.0013018270547555972
trace,200,0.5,0.1,0.9885511329650216,0.0012028941524052056,0.9051585684581193,0.009629296845239301,0.9998031900831302,2.2274404265433043e-05,0.9501082146388065,0.005303105486323293,0.011589539966981645,0.0013018270547555972
trace,200,0.5,auto,0.9885511329650216,0.0012028941524052056,0.9051585684581193,0.009629296845239301,0.9998031900831302,2.2274404265433043e-05,0.9501082146388065,0.005303105486323293,0.011589539966981645,0.0013018270547555972
trace,200,1.0,0.01,0.9919350487126419,0.0020702130106138514,0.9320849715493174,0.01614376754394724,0.9997796903915634,1.0385494539104637e-05,0.9646884850127911,0.008638194989683297,0.008079919353398666,0.002050317308680852
trace,200,1.0,0.05,0.9919350487126419,0.0020702130106138514,0.9320849715493174,0.01614376754394724,0.9997796903915634,1.0385494539104637e-05,0.9646884850127911,0.008638194989683297,0.008079919353398666,0.002050317308680852
trace,200,1.0,0.1,0.9919350487126419,0.0020702130106138514,0.9320849715493174,0.01614376754394724,0.9997796903915634,1.0385494539104637e-05,0.9646884850127911,0.008638194989683297,0.008079919353398666,0.002050317308680852
