"dataset","corruption","pooling","seed","checkpoint","train_time_s","peak_memory_mb","auc","precision","recall","f1","fpr","tp","fp","tn","fn"
"wget","mask","typed","1","reviewer_experiments_wget_e5\checkpoints\wget_mask_seed1.pt","50.112430572509766","3768.20556640625","0.8816","1.0","0.72","0.8372093018388317","0.0","18","0","25","7"
"wget","mask","global","2","reviewer_experiments_wget_e5\checkpoints\wget_mask_seed2.pt","50.46296668052673","3767.67041015625","0.7808","0.5897435897435898","0.92","0.7187499995239257","0.64","23","16","9","2"
"wget","mask","typed","2","reviewer_experiments_wget_e5\checkpoints\wget_mask_seed2.pt","50.46296668052673","3767.67041015625","0.8448","0.9047619047619048","0.76","0.8260869560255198","0.08","19","2","23","6"
"wget","mask","global","3","reviewer_experiments_wget_e5\checkpoints\wget_mask_seed3.pt","50.49232745170593","3766.56103515625","0.8623999999999999","0.8695652173913043","0.8","0.8333333328342013","0.12","20","3","22","5"
"wget","mask","typed","3","reviewer_experiments_wget_e5\checkpoints\wget_mask_seed3.pt","50.49232745170593","3766.56103515625","0.9056","0.9090909090909091","0.8","0.8510638292892712","0.08","20","2","23","5"
"wget","mask","global","4","reviewer_experiments_wget_e5\checkpoints\wget_mask_seed4.pt","50.58719992637634","3768.375","0.768","0.8","0.8","0.7999999995000001","0.2","20","5","20","5"
"wget","mask","typed","4","reviewer_experiments_wget_e5\checkpoints\wget_mask_seed4.pt","50.58719992637634","3768.375","0.8656","0.8076923076923077","0.84","0.823529411264898","0.2","21","5","20","4"
"wget","none","global","0","reviewer_experiments_wget_e5\checkpoints\wget_none_seed0.pt","49.44030284881592","3765.90087890625","0.8623999999999999","0.9473684210526315","0.72","0.8181818176911155","0.04","18","1","24","7"
"wget","none","typed","0","reviewer_experiments_wget_e5\checkpoints\wget_none_seed0.pt","49.44030284881592","3765.90087890625","0.8928","1.0","0.76","0.8636363631456612","0.0","19","0","25","6"
"wget","none","global","1","reviewer_experiments_wget_e5\checkpoints\wget_none_seed1.pt","51.261354207992554","3765.08203125","0.8976","0.9090909090909091","0.8","0.8510638292892712","0.08","20","2","23","5"
"wget","none","typed","1","reviewer_experiments_wget_e5\checkpoints\wget_none_seed1.pt","51.261354207992554","3765.08203125","0.8448","0.8636363636363636","0.76","0.8085106377999095","0.12","19","3","22","6"
"wget","none","global","2","reviewer_experiments_wget_e5\checkpoints\wget_none_seed2.pt","51.07915735244751","3765.27734375","0.8256000000000001","0.8695652173913043","0.8","0.8333333328342013","0.12","20","3","22","5"
"wget","none","typed","2","reviewer_experiments_wget_e5\checkpoints\wget_none_seed2.pt","51.07915735244751","3765.27734375","0.8320000000000001","0.9473684210526315","0.72","0.8181818176911155","0.04","18","1","24","7"
"wget","none","global","3","reviewer_experiments_wget_e5\checkpoints\wget_none_seed3.pt","51.05222773551941","3766.24267578125","0.8688","0.8333333333333334","0.8","0.8163265301124533","0.16","20","4","21","5"
"wget","none","typed","3","reviewer_experiments_wget_e5\checkpoints\wget_none_seed3.pt","51.05222773551941","3766.24267578125","0.8864","0.9047619047619048","0.76","0.8260869560255198","0.08","19","2","23","6"
"wget","none","global","4","reviewer_experiments_wget_e5\checkpoints\wget_none_seed4.pt","51.34231448173523","3764.42578125","0.776","0.8","0.8","0.7999999995000001","0.2","20","5","20","5"
"wget","none","typed","4","reviewer_experiments_wget_e5\checkpoints\wget_none_seed4.pt","51.34231448173523","3764.42578125","0.8512000000000001","0.8","0.8","0.7999999995000001","0.2","20","5","20","5"
