variant,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
gaussian_edge0,1,200,1.0,0.1,0.8832,0.7419354838709677,0.92,0.8214285714285714,0.32,-0.043503645648137246,23,8,17,2
gaussian_edge0,1,500,auto,auto,0.8784000000000001,0.9473684210526315,0.72,0.8181818181818182,0.04,0.02412149431789712,18,1,24,7
gaussian_edge0,1,500,auto,0.01,0.8784000000000001,0.9473684210526315,0.72,0.8181818181818182,0.04,-0.11857692917178009,18,1,24,7
gaussian_edge0,1,500,auto,0.05,0.8784000000000001,0.9473684210526315,0.72,0.8181818181818182,0.04,-0.008034049498112705,18,1,24,7
gaussian_edge0,1,500,auto,0.1,0.8784000000000001,0.9473684210526315,0.72,0.8181818181818182,0.04,0.0028925211849576415,18,1,24,7
gaussian_edge0,1,500,0.5,auto,0.8592,0.9,0.72,0.8,0.08,0.040110889568885866,18,2,23,7
gaussian_edge0,1,500,0.5,0.01,0.8592,0.9,0.72,0.8,0.08,-0.09951757720585153,18,2,23,7
gaussian_edge0,1,500,0.5,0.05,0.8592,0.9,0.72,0.8,0.08,-0.011842475607560021,18,2,23,7
gaussian_edge0,1,500,0.5,0.1,0.8592,0.9,0.72,0.8,0.08,0.0008712145911742297,18,2,23,7
gaussian_edge0,1,500,1.0,auto,0.8784000000000001,0.9473684210526315,0.72,0.8181818181818182,0.04,0.02412149431789712,18,1,24,7
gaussian_edge0,1,500,1.0,0.01,0.8784000000000001,0.9473684210526315,0.72,0.8181818181818182,0.04,-0.11857692917178009,18,1,24,7
gaussian_edge0,1,500,1.0,0.05,0.8784000000000001,0.9473684210526315,0.72,0.8181818181818182,0.04,-0.008034049498112705,18,1,24,7
gaussian_edge0,1,500,1.0,0.1,0.8784000000000001,0.9473684210526315,0.72,0.8181818181818182,0.04,0.0028925211849576415,18,1,24,7
gaussian_edge0,2,100,auto,auto,0.8512,0.95,0.76,0.8444444444444444,0.04,0.037930014524436784,19,1,24,6
gaussian_edge0,2,100,auto,0.01,0.8512,0.95,0.76,0.8444444444444444,0.04,-0.12555889972904488,19,1,24,6
gaussian_edge0,2,100,auto,0.05,0.8512,0.95,0.76,0.8444444444444444,0.04,0.015309760176064224,19,1,24,6
