variant,pooling,fit_count,val_fraction,scaler,pca_dim,detector,detector_params,threshold_method,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
mask_edge0,global,95,0.65,robust,48,iforest,n=200;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.88,0.9888,0.018633303518163353,0.9692307692307693,0.017200522903844526,0.992,0.01788854381999834,0.9802320928371347,0.000357914042016774,0.08,0.044721359549995794,24.8,0.44721359549995815,0.8,0.4472135954999579,9.2,0.44721359549995776,0.2,0.447213595499958
mask_edge0,global,95,0.65,robust,48,iforest,n=200;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.88,0.9888,0.018633303518163353,0.9692307692307693,0.017200522903844526,0.992,0.01788854381999834,0.9802320928371347,0.000357914042016774,0.08,0.044721359549995794,24.8,0.44721359549995815,0.8,0.4472135954999579,9.2,0.44721359549995776,0.2,0.447213595499958
mask_edge0,global,95,0.65,robust,40,knn,k=15,benign-q0.9,0.9848000000000001,0.02777048793233562,0.9774928774928775,0.033291911829326934,0.984,0.03577708763999663,0.980052790346908,0.020064973833229114,0.06000000000000001,0.0894427190999916,24.6,0.8944271909999155,0.6,0.8944271909999159,9.4,0.8944271909999159,0.4,0.894427190999916
gaussian_edge0,global,105,0.65,standard,48,knn,k=15,benign-q0.9,0.976,0.04206894244412789,0.9575989782886335,0.06229507507134187,1.0,0.0,0.9774928774928775,0.03329191182932694,0.17142857142857143,0.25555062599997597,25.0,0.0,1.2,1.7888543819998317,5.8,1.7888543819998317,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=300;max_samples=1.0;max_features=0.75;bootstrap=False,benign-q0.82,0.9817142857142857,0.03217300173773543,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=300;max_samples=1.0;max_features=0.75;bootstrap=False,benign-q0.85,0.9817142857142857,0.03217300173773543,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=300;max_samples=1.0;max_features=0.75;bootstrap=False,benign-q0.88,0.9817142857142857,0.03217300173773543,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=300;max_samples=1.0;max_features=1.0;bootstrap=False,benign-q0.88,0.9851428571428572,0.030128974460489268,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=300;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.82,0.9817142857142857,0.03217300173773543,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=300;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.85,0.9817142857142857,0.03217300173773543,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=300;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.88,0.9817142857142857,0.03217300173773543,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=300;max_samples=auto;max_features=1.0;bootstrap=False,benign-q0.88,0.9851428571428572,0.030128974460489268,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=500;max_samples=1.0;max_features=0.75;bootstrap=False,benign-q0.85,0.9794285714285713,0.03716482866630649,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=500;max_samples=1.0;max_features=0.75;bootstrap=False,benign-q0.88,0.9794285714285713,0.03716482866630649,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=500;max_samples=1.0;max_features=0.75;bootstrap=False,benign-q0.9,0.9794285714285713,0.03716482866630649,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
mask_edge0,global,105,0.65,robust,48,iforest,n=500;max_samples=auto;max_features=0.75;bootstrap=False,benign-q0.85,0.9794285714285713,0.03716482866630649,0.9570291777188329,0.05646036733307383,1.0,0.0,0.9773420479302832,0.03036852612061495,0.1714285714285714,0.23473823893078546,25.0,0.0,1.2,1.6431676725154982,5.8,1.6431676725154984,0.0,0.0
